#,Repository,Link,Stars,Description
155,funNLP,https://github.com/fighting41love/funNLP,79782,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、NLU太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、ASR 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文OCR的Python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、AmpliGraph: 知识图谱表示学习(Python)库：知识图谱概念链接预测、Scattertext 文本可视化(python)、语言/知识表示工具：BERT & ERNIE、中文对比英文自然语言处理NLP的区别综述、Synonyms中文近义词工具包、HarvestText领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(Python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(ASR)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、Kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库TextTeaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14W歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于Siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用Transformer编解码模型实现的根据Hacker News文章标题自动生成评论、用BERT进行序列标记和文本分类的模板代码、LitBank：NLP数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、Facebook: LAMA语言模型分析，提供Transformer-XL/BERT/ELMo/GPT预训练语言模型的统一访问接口、CommonsenseQA：面向常识的英文QA挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 PDF 或者 PPT、自然语言生成SQL语句（英文）、中文NLP数据增强（EDA）工具、英文NLP数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ULMFiT-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqGAN、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、Python音频数据增广库、中文全词覆盖BERT及两份阅读理解数据、ConvLab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于TensorFlow和BERT的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有NLP比赛的TOP方案、OpenCLaP：多领域开源中文预训练语言模型仓库、UER：基于不同语料+编码器+目标任务的中文预训练模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pC：基于上下文的汉语读音自动标记模块、Zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库、快速转化「中文数字」和「阿拉伯数字」、百度知道问答语料库、基于知识图谱的问答系统、jieba_fast 加速版的jieba、正则表达式教程、中文阅读理解数据集、基于BERT等最新语言模型的抽取式摘要提取、Python利用深度学习进行文本摘要的综合指南、知识图谱深度学习相关资料整理、维基大规模平行文本语料、StanfordNLP 0.2.0：纯Python版自然语言处理包、NeuralNLP-NeuralClassifier：腾讯开源深度学习文本分类工具、端到端的封闭域对话系统、中文命名实体识别：NeuroNER vs. BertNER、新闻事件线索抽取、2019年百度的三元组抽取比赛：“科学空间队”源码、基于依存句法的开放域文本知识三元组抽取和知识库构建、中文的GPT2训练代码、ML-NLP - 机器学习(Machine Learning)NLP面试中常考到的知识点和代码实现、nlp4han:中文自然语言处理工具集(断句/分词/词性标注/组块/句法分析/语义分析/NER/N元语法/HMM/代词消解/情感分析/拼写检查、XLM：Facebook的跨语言预训练语言模型、用基于BERT的微调和特征提取方法来进行知识图谱百度百科人物词条属性抽取、中文自然语言处理相关的开放任务-数据集-当前最佳结果、CoupletAI - 基于CNN+Bi-LSTM+Attention 的自动对对联系统、抽象知识图谱、MiningZhiDaoQACorpus - 580万百度知道问答数据挖掘项目、brat rapid annotation tool: 序列标注工具、大规模中文知识图谱数据：1.4亿实体、数据增强在机器翻译及其他nlp任务中的应用及效果、allennlp阅读理解:支持多种数据和模型、PDF表格数据提取工具 、 Graphbrain：AI开源软件库和科研工具，目的是促进自动意义提取和文本理解以及知识的探索和推断、简历自动筛选系统、基于命名实体识别的简历自动摘要、中文语言理解测评基准，包括代表性的数据集&基准模型&语料库&排行榜、树洞 OCR 文字识别 、从包含表格的扫描图片中识别表格和文字、语声迁移、Python口语自然语言处理工具集(英文)、 similarity：相似度计算工具包，java编写、海量中文预训练ALBERT模型 、Transformers 2.0 、基于大规模音频数据集Audioset的音频增强 、Poplar：网页版自然语言标注工具、图片文字去除，可用于漫画翻译 、186种语言的数字叫法库、Amazon发布基于知识的人-人开放领域对话数据集 、中文文本纠错模块代码、繁简体转换 、 Python实现的多种文本可读性评价指标、类似于人名/地名/组织机构名的命名体识别数据集 、东南大学《知识图谱》研究生课程(资料)、. 英文拼写检查库 、 wwsearch是企业微信后台自研的全文检索引擎、CHAMELEON：深度学习新闻推荐系统元架构 、 8篇论文梳理BERT相关模型进展与反思、DocSearch：免费文档搜索引擎、 LIDA：轻量交互式对话标注工具 、aili - the fastest in-memory index in the East 东半球最快并发索引 、知识图谱车音工作项目、自然语言生成资源大全 、中日韩分词库mecab的Python接口库、中文文本摘要/关键词提取、汉字字符特征提取器 (featurizer)，提取汉字的特征（发音特征、字形特征）用做深度学习的特征、中文生成任务基准测评 、中文缩写数据集、中文任务基准测评 - 代表性的数据集-基准(预训练)模型-语料库-baseline-工具包-排行榜、PySS3：面向可解释AI的SS3文本分类器机器可视化工具 、中文NLP数据集列表、COPE - 格律诗编辑程序、doccano：基于网页的开源协同多语言文本标注工具 、PreNLP：自然语言预处理库、简单的简历解析器，用来从简历中提取关键信息、用于中文闲聊的GPT2模型：GPT2-chitchat、基于检索聊天机器人多轮响应选择相关资源列表(Leaderboards、Datasets、Papers)、(Colab)抽象文本摘要实现集锦(教程 、词语拼音数据、高效模糊搜索工具、NLP数据增广资源集、微软对话机器人框架 、 GitHub Typo Corpus：大规模GitHub多语言拼写错误/语法错误数据集、TextCluster：短文本聚类预处理模块 Short text cluster、面向语音识别的中文文本规范化、BLINK：最先进的实体链接库、BertPunc：基于BERT的最先进标点修复模型、Tokenizer：快速、可定制的文本词条化库、中文语言理解测评基准，包括代表性的数据集、基准(预训练)模型、语料库、排行榜、spaCy 医学文本挖掘与信息提取 、 NLP任务示例项目代码集、 python拼写检查库、chatbot-list - 行业内关于智能客服、聊天机器人的应用和架构、算法分享和介绍、语音质量评价指标(MOSNet, BSSEval, STOI, PESQ, SRMR)、 用138GB语料训练的法文RoBERTa预训练语言模型 、BERT-NER-Pytorch：三种不同模式的BERT中文NER实验、无道词典 - 有道词典的命令行版本，支持英汉互查和在线查询、2019年NLP亮点回顾、 Chinese medical dialogue data 中文医疗对话数据集 、最好的汉字数字(中文数字)-阿拉伯数字转换工具、 基于百科知识库的中文词语多词义/义项获取与特定句子词语语义消歧、awesome-nlp-sentiment-analysis - 情感分析、情绪原因识别、评价对象和评价词抽取、LineFlow：面向所有深度学习框架的NLP数据高效加载器、中文医学NLP公开资源整理 、MedQuAD：(英文)医学问答数据集、将自然语言数字串解析转换为整数和浮点数、Transfer Learning in Natural Language Processing (NLP) 、面向语音识别的中文/英文发音辞典、Tokenizers：注重性能与多功能性的最先进分词器、CLUENER 细粒度命名实体识别 Fine Grained Named Entity Recognition、 基于BERT的中文命名实体识别、中文谣言数据库、NLP数据集/基准任务大列表、nlp相关的一些论文及代码, 包括主题模型、词向量(Word Embedding)、命名实体识别(NER)、文本分类(Text Classificatin)、文本生成(Text Generation)、文本相似性(Text Similarity)计算等，涉及到各种与nlp相关的算法，基于keras和tensorflow 、Python文本挖掘/NLP实战示例、 Blackstone：面向非结构化法律文本的spaCy pipeline和NLP模型通过同义词替换实现文本“变脸” 、中文 预训练 ELECTREA 模型: 基于对抗学习 pretrain Chinese Model 、albert-chinese-ner - 用预训练语言模型ALBERT做中文NER 、基于GPT2的特定主题文本生成/文本增广、开源预训练语言模型合集、多语言句向量包、编码、标记和实现：一种可控高效的文本生成方法、 英文脏话大列表 、attnvis：GPT2、BERT等transformer语言模型注意力交互可视化、CoVoST：Facebook发布的多语种语音-文本翻译语料库，包括11种语言(法语、德语、荷兰语、俄语、西班牙语、意大利语、土耳其语、波斯语、瑞典语、蒙古语和中文)的语音、文字转录及英文译文、Jiagu自然语言处理工具 - 以BiLSTM等模型为基础，提供知识图谱关系抽取 中文分词 词性标注 命名实体识别 情感分析 新词发现 关键词 文本摘要 文本聚类等功能、用unet实现对文档表格的自动检测，表格重建、NLP事件提取文献资源列表 、 金融领域自然语言处理研究资源大列表、CLUEDatasetSearch - 中英文NLP数据集：搜索所有中文NLP数据集，附常用英文NLP数据集 、medical_NER - 中文医学知识图谱命名实体识别 、(哈佛)讲因果推理的免费书、知识图谱相关学习资料/数据集/工具资源大列表、Forte：灵活强大的自然语言处理pipeline工具集 、Python字符串相似性算法库、PyLaia：面向手写文档分析的深度学习工具包、TextFooler：针对文本分类/推理的对抗文本生成模块、Haystack：灵活、强大的可扩展问答(QA)框架、中文关键短语抽取工具"
156,vite,https://github.com/vitejs/vite,79556,Фронтенд-инструментарий нового поколения.
157,cs-video-courses,https://github.com/Developer-Y/cs-video-courses,79428,Список курсов Computer Science с видеолекциями.
158,sherlock,https://github.com/sherlock-project/sherlock,79296,Поиск аккаунтов в соцсетях по имени пользователя.
159,fzf,https://github.com/junegunn/fzf,79257,Fuzzy finder для командной строки.
160,github-readme-stats,https://github.com/anuraghazra/github-readme-stats,78961,Динамическая статистика для GitHub README.
161,advanced-java,https://github.com/doocs/advanced-java,78918,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
162,hoppscotch,https://github.com/hoppscotch/hoppscotch,78791,"Open-Source API Development Ecosystem • https://hoppscotch.io • Offline, On-Prem & Cloud • Web, Desktop & CLI • Open-Source Alternative to Postman, Insomnia"
163,zed,https://github.com/zed-industries/zed,78471,"Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter."
164,netdata,https://github.com/netdata/netdata,78309,"The fastest path to AI-powered full stack observability, even for lean teams."
165,llm-course,https://github.com/mlabonne/llm-course,77777,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
166,models,https://github.com/tensorflow/models,77683,Модели и примеры на TensorFlow.
167,localsend,https://github.com/localsend/localsend,77656,Open-source альтернатива AirDrop.
168,gpt4all,https://github.com/nomic-ai/gpt4all,77239,GPT4All: Run Local LLMs on Any Device. С открытым кодом and available for commercial use.
169,ragflow,https://github.com/infiniflow/ragflow,77120,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs
170,code-server,https://github.com/coder/code-server,76958,VS Code в браузере.
171,d2l-zh,https://github.com/d2l-ai/d2l-zh,76780,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。
172,LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76675,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
173,PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings,76621,A list of useful payloads and bypass for Web Приложение Security and Pentest/CTF
174,Font-Awesome,https://github.com/FortAwesome/Font-Awesome,76472,"Инструментарий SVG, шрифтов и CSS."
175,elasticsearch,https://github.com/elastic/elasticsearch,76444,"Free and Open Source, Distributed, RESTful Search Engine"
176,Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,76211,#1 PDF Приложение on GitHub that lets you edit PDFs on any device anywhere
177,Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit,75922,:link: Some useful websites for programmers.
178,json-server,https://github.com/typicode/json-server,75674,Get a full fake REST API with zero coding in less than 30 seconds (seriously)
179,lazygit,https://github.com/jesseduffield/lazygit,75579,simple terminal UI for git commands
180,Ventoy,https://github.com/ventoy/Ventoy,75484,A new bootable USB solution.
181,vllm,https://github.com/vllm-project/vllm,75257,Движок инференса для LLM с высокой пропускной способностью.
182,nest,https://github.com/nestjs/nest,75045,"A progressive Node.js фреймворк для создания efficient, scalable, and enterprise-grade server-side приложениеs with TypeScript/JavaScript 🚀"
183,PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,74886,"Turn any PDF or image document into structured data for your AI. A мощный, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages."
184,lobehub,https://github.com/lobehub/lobehub,74737,"The ultimate space for work and life — to find, build, and collaborate with agent teammates that grow with you. We are taking agent harness to the next level — enabling multi-agent collaboration, effortless agent team design, and introducing agents as the unit of work interaction."
185,union,https://github.com/unionlabs/union,74172,Протокол моста с нулевым разглашением.
186,awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets,73819,A topic-centric list of HQ open datasets.
187,redis,https://github.com/redis/redis,73658,"For developers, who are building real-time data-driven приложениеs, Redis is the preferred, fastest, and most feature-rich cache, data structure server, and document and vector query engine."
188,awesome-vue,https://github.com/vuejs/awesome-vue,73614,🎉 Кураторский список awesome things related to Vue.js
189,tesseract,https://github.com/tesseract-ocr/tesseract,73317,Tesseract Open Source OCR Engine (main repository)
190,codex,https://github.com/openai/codex,73110,Lightweight coding agent that runs in your terminal
191,grafana,https://github.com/grafana/grafana,72970,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. "
192,the-algorithm,https://github.com/twitter/the-algorithm,72960,Source code for the X Recommendation Algorithm
193,stable-diffusion,https://github.com/CompVis/stable-diffusion,72815,A latent text-to-image diffusion model
194,Prompt-Engineering-Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,72807,"🐙 Guides, papers, lessons, notebooks and resources for prompt engineering, context engineering, RAG, and AI Agents."
195,awesome-react,https://github.com/enaqx/awesome-react,72678,Коллекция awesome things regarding React ecosystem
196,openai-cookbook,https://github.com/openai/openai-cookbook,72562,Examples and guides for using the OpenAI API
197,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,72435,🗂 The perfect Front-End Checklist for современный websites and meticulous developers
198,imgui,https://github.com/ocornut/imgui,72403,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies
199,superset,https://github.com/apache/superset,72212,Apache Superset is a Data Visualization and Data Exploration Platform
200,cpython,https://github.com/python/cpython,72155,The Python programming language
201,awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,72152,"Кураторский список awesome Machine Learning фреймворкs, libraries and ПО."
202,screenshot-to-code,https://github.com/abi/screenshot-to-code,72150,Drop in a screenshot and convert it to clean code (HTML/Tailwind/React/Vue)
203,cs-self-learning,https://github.com/PKUFlyingPig/cs-self-learning,72146,计算机自学指南
204,strapi,https://github.com/strapi/strapi,71779,"🚀 Strapi is the leading open-source headless CMS. It’s 100% JavaScript/TypeScript, fully customizable, and developer-first."
205,moby,https://github.com/moby/moby,71563,The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems
206,obs-studio,https://github.com/obsproject/obs-studio,71373,OBS Studio - Free and open source ПО for live streaming and screen recording
207,flask,https://github.com/pallets/flask,71369,The Python micro фреймворк для создания web приложениеs.
208,daytona,https://github.com/daytonaio/daytona,71353,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code
209,caddy,https://github.com/caddyserver/caddy,71278,Fast and extensible multi-platform HTTP/1-2-3 web server with automatic HTTPS
210,agency-agents,https://github.com/msitarzewski/agency-agents,71047,"A complete AI agency at your fingertips - From frontend wizards to Reddit community ninjas, from whimsy injectors to reality checkers. Each agent is a specialized expert with personality, processes, and proven deliverables."
211,protobuf,https://github.com/protocolbuffers/protobuf,71035,Protocol Buffers - Google's data interchange format
212,reveal.js,https://github.com/hakimel/reveal.js,70932,The HTML Presentation Framework
213,awesome-cpp,https://github.com/fffaraz/awesome-cpp,70616,"Кураторский список awesome C++ (or C) фреймворкs, libraries, resources, and shiny things. Inspired by awesome-... stuff."
214,OpenHands,https://github.com/OpenHands/OpenHands,70571,🙌 OpenHands: AI-Driven Development
215,gpt_academic,https://github.com/binary-husky/gpt_academic,70355,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
216,awesome-scalability,https://github.com/binhnguyennus/awesome-scalability,70167,"The Patterns of Scalable, Reliable, and Performant Large-Scale Systems"
217,tabby,https://github.com/Eugeny/tabby,70058,A terminal for a more современный age
218,SecLists,https://github.com/danielmiessler/SecLists,69955,"SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more."
219,swift,https://github.com/swiftlang/swift,69866,The Swift Programming Language
220,act,https://github.com/nektos/act,69704,Run your GitHub Actions locally 🚀
221,LlamaFactory,https://github.com/hiyouga/LlamaFactory,69521,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024)
222,AppFlowy,https://github.com/AppFlowy-IO/AppFlowy,69109,"Bring projects, wikis, and teams together with AI. AppFlowy is the AI collaborative workspace where you achieve more without losing control of your data. The leading open source Notion alternative."
223,express,https://github.com/expressjs/express,68888,"Fast, unopinionated, minimalist web фреймворк for node."
224,node,https://github.com/base/node,68641,Everything required to run your own Base node
225,ansible,https://github.com/ansible/ansible,68392,"Ansible is a radically simple IT automation platform that makes your приложениеs and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com."
226,awesome-courses,https://github.com/prakhar1989/awesome-courses,67461,:books: List of awesome university courses for learning Computer Science!
227,Chart.js,https://github.com/chartjs/Chart.js,67331,Simple HTML5 Charts using the <canvas> tag
228,anime,https://github.com/juliangarnier/anime,66999,JavaScript animation engine
229,AFFiNE,https://github.com/toeverything/AFFiNE,66947,"There can be more than Notion and Miro. AFFiNE(pronounced [ə‘fain]) is a next-gen knowledge base that brings planning, sorting and creating all together. Privacy first, open-source, customizable and ready to use. "
230,ChinaTextbook,https://github.com/TapXWorld/ChinaTextbook,66640,所有小初高、大学PDF教材。
231,MetaGPT,https://github.com/FoundationAgents/MetaGPT,66638,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
232,ghidra,https://github.com/NationalSecurityAgency/ghidra,66565,Ghidra is a ПО reverse engineering (SRE) фреймворк
233,33-js-concepts,https://github.com/leonardomso/33-js-concepts,66301,📜 33 JavaScript concepts every developer should know.
234,annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,66220,"🧑‍🏫 60+ Implementations/обучающее руководствоs of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠"
235,echarts,https://github.com/apache/echarts,66067,"Apache ECharts is a мощный, interactive charting and data visualization библиотека for browser"
236,gpt4free,https://github.com/xtekky/gpt4free,65970,The official gpt4free repository | various collection of мощный language models | opus 4.6 gpt 5.3 kimi 2.5 deepseek v3.2 gemini 3
237,webpack,https://github.com/webpack/webpack,65939,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the приложение on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff."
238,scikit-learn,https://github.com/scikit-learn/scikit-learn,65620,scikit-learn: machine learning in Python
239,autoresearch,https://github.com/karpathy/autoresearch,65591,AI agents running research on single-GPU nanochat training automatically
240,awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs,65489,":zap: Delightful Node.js packages and resources [BECAUSE OF TOO MUCH SPAM AND LOW-QUALITY SUBMISSIONS, SUBMISSIONS ARE PAUSED UNTIL SEPTEMBER]"
241,OpenBB,https://github.com/OpenBB-finance/OpenBB,65331,"Financial data platform for analysts, quants and AI agents."
242,Java,https://github.com/TheAlgorithms/Java,65316,All Algorithms implemented in Java
243,javascript-questions,https://github.com/lydiahallie/javascript-questions,65297,"A long list of (advanced) JavaScript questions, and their explanations :sparkles:  "
244,design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers,65168,"Curated list of design and UI resources from stock photos, web templates, CSS фреймворкs, UI libraries, tools and much more"
245,nocode,https://github.com/kelseyhightower/nocode,65140,The best way to write secure and reliable приложениеs. Write nothing; deploy nowhere.
246,interviews,https://github.com/kdn251/interviews,64897,Everything you need to know to get the job.
247,localstack,https://github.com/localstack/localstack,64832,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline
248,Apollo-11,https://github.com/chrislgarry/Apollo-11,64757,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.
249,docusaurus,https://github.com/facebook/docusaurus,64380,Easy to maintain open source documentation websites.
250,gstack,https://github.com/garrytan/gstack,63957,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools that serve as CEO, Designer, Eng Manager, Release Manager, Doc Engineer, and QA"
251,keras,https://github.com/keras-team/keras,63926,Deep Learning for humans
252,prometheus,https://github.com/prometheus/prometheus,63386,The Prometheus monitoring system and time series database.
253,crawl4ai,https://github.com/unclecode/crawl4ai,63373,"🚀🤖 Crawl4AI: С открытым кодом LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN"
254,pathway,https://github.com/pathwaycom/pathway,63361,"Python ETL фреймворк for stream processing, real-time analytics, LLM pipelines, and RAG."
255,alacritty,https://github.com/alacritty/alacritty,63239,"A cross-platform, OpenGL terminal emulator."
256,socket.io,https://github.com/socketio/socket.io,63005,Realtime приложение фреймворк (Node.JS server)
257,open-interpreter,https://github.com/openinterpreter/open-interpreter,63005,A natural language interface for computers
258,resume.github.com,https://github.com/resume/resume.github.com,62831,Resumes generated using the GitHub informations
259,nocodb,https://github.com/nocodb/nocodb,62606,🔥 🔥 🔥 A Free & Self-hostable Airtable Alternative
260,uBlock,https://github.com/gorhill/uBlock,62516,uBlock Origin - An efficient blocker for Chromium and Firefox. Fast and lean.
261,traefik,https://github.com/traefik/traefik,62465,The Cloud Native Приложение Proxy
262,rustlings,https://github.com/rust-lang/rustlings,62375,:crab: Small exercises to get you used to reading and writing Rust code!
263,nerd-fonts,https://github.com/ryanoasis/nerd-fonts,62354,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more"
264,ladybird,https://github.com/LadybirdBrowser/ladybird,62132,Truly independent web browser
265,tldr,https://github.com/tldr-pages/tldr,61906,Collaborative cheatsheets for console commands 📚.
266,ripgrep,https://github.com/BurntSushi/ripgrep,61902,ripgrep recursively searches directories for a regex pattern while respecting your gitignore
267,sway,https://github.com/FuelLabs/sway,61819,🌴 Empowering everyone to build reliable and efficient smart contracts.
268,lodash,https://github.com/lodash/lodash,61516,"A современный JavaScript utility библиотека delivering modularity, performance, & extras."
269,redux,https://github.com/reduxjs/redux,61440,A JS библиотека for predictable global state management
270,scrapy,https://github.com/scrapy/scrapy,61073,"Scrapy, a fast high-level web crawling & scraping фреймворк for Python."
271,leetcode-master,https://github.com/youngyangyang04/leetcode-master,60976,《代码随想录》LeetCode 刷题攻略：200道经典题目刷题顺序，共60w字的详细图解，视频难点剖析，50余张思维导图，支持C++，Java，Python，Go，JavaScript等多语言版本，从此算法学习不再迷茫！🔥🔥 来看看，你会发现相见恨晚！🚀 
272,atom,https://github.com/atom/atom,60964,:atom: The hackable text editor
273,architect-awesome,https://github.com/xingshaocheng/architect-awesome,60826,后端架构师技术图谱
274,Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions,60822,"A list of helpful front-end related questions you can use to interview potential candidates, test yourself or completely ignore."
275,minio,https://github.com/minio/minio,60613,"MinIO is a high-performance, S3 compatible object store, open sourced under GNU AGPLv3 license."
276,30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,60540,The 30 Days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than 100 days. Follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw
277,openpilot,https://github.com/commaai/openpilot,60517,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars."
278,drawio-desktop,https://github.com/jgraph/drawio-desktop,60213,Official electron build of draw.io
279,markdown-here,https://github.com/adam-p/markdown-here,60171,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending."
280,git,https://github.com/git/git,60102,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements.
281,nuxt,https://github.com/nuxt/nuxt,59951,The Full-Stack Vue Framework.
282,llm-app,https://github.com/pathwaycom/llm-app,59921,"Ready-to-run cloud templates for RAG, AI pipelines, and enterprise search with live data. 🐳Docker-friendly.⚡Always in sync with Sharepoint, Google Drive, S3, Kafka, PostgreSQL, real-time data APIs, and more."
283,cline,https://github.com/cline/cline,59886,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way."
284,jquery,https://github.com/jquery/jquery,59852,jQuery JavaScript Библиотека
285,spring-framework,https://github.com/spring-projects/spring-framework,59810,Spring Framework
286,Magisk,https://github.com/topjohnwu/Magisk,59673,The Magic Mask for Android
287,Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,59592,Clone a voice in 5 seconds to generate arbitrary speech in real-time
